"filename", "language", "JSON", "HTML", "JavaScript", "YAML", "Markdown", "Dart", "Properties", "Groovy", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\contact\widgets\recommendations_carousel.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\main_screen.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\projects_section.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\app_info_dialog.dart", "Dart", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 5, 116
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\app_widget.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 5, 78
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\project_url_icon.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\projects\widgets\projects_builder.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\skills\skills_section.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\skills\widgets\skill_chip.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\colorful_background.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\custom_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\screens\widgets\fading_translate_widget.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 6, 42
"c:\Users\Modather\FlutterProjects\personal_projects\portfolio\lib\services\helper_services.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 16, 12, 73
